highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,theta,delta,meditationValue
33545,7836,2234,7445,6030,3104,12720,6297,63
53499,5246,5056,4249,3278,2528,8548,36442,75
14354,9291,3000,5739,3235,6031,20164,66719,70
33192,53445,8700,2392,2911,2053,50524,16870,81
47151,6113,8949,10994,6573,3399,50228,13162,70
5622,43966,4068,15542,2061,6103,23957,32452,63
17345,33079,4406,8286,2052,3085,75359,47784,60
20306,25876,5353,5200,4910,2469,28779,64780,60
39906,30563,6763,4820,4579,3385,22329,62156,67
6884,2178,4467,3757,5470,1983,25325,49891,54
9592,6446,4992,7472,2427,1921,33712,20101,50
9955,1004,4326,10375,4082,3878,4646,17141,43
1110,7456,5228,10256,3495,9217,4277,18556,29
39575,12489,5971,5035,8499,4209,36222,28403,43
4092,6904,6423,5381,5035,3516,10616,25659,47
49033,7286,14988,5554,2515,6597,7464,4164,57
8945,5667,3965,7702,2034,5799,13415,11431,60
14242,8018,4306,16599,3818,3643,17542,5668,54
9705,11100,3578,5406,2991,5165,17920,6119,57
9620,4960,4107,4862,4132,4327,14133,16781,48
13642,6306,5751,4466,5311,6958,10260,6393,53
3437,241,5845,10528,1484,1280,12888,82798,40
8779,5290,3467,3703,1659,3235,5102,8700,43
8037,5120,8131,6404,4123,2698,25538,27387,37
18349,5320,5090,2554,3612,3876,7536,58810,40
11521,5454,3689,5251,3372,3096,19057,25166,54
26696,23710,5239,13052,2057,3802,15524,40935,56
21384,28470,2017,2093,2869,1671,56705,177850,64
10674,8475,8080,31857,2494,4191,11025,17558,53
38176,18955,4216,9237,2377,2833,82331,39163,51
11466,26045,10477,9307,12916,15556,14645,490472,50
23946,7536,14668,17625,3322,3930,16085,48445,48
17785,12211,7405,8306,5559,14757,41435,114531,51
19953,67229,8289,12667,10564,10208,308628,726910,43
2727,58835,14058,6035,8262,33896,363455,87054,27
9531,44014,19866,13095,12427,27099,167123,1143964,20
21240,49669,17594,12637,9891,8352,178052,736466,14
3596,8280,4762,6714,2700,6197,33192,1200785,16
29628,11746,9347,5344,8549,6317,300958,1479878,13
13957,13682,5355,17045,4895,11185,263719,402480,4
61217,22754,15617,14865,12774,16891,296652,426308,1
5934,5568,7514,12929,2043,7639,226286,351206,1
16228,558,4412,11103,3011,3411,31138,30381,1
15103,5600,6843,10666,2508,5742,31665,123415,14
13242,11322,5427,5761,3950,5169,23284,54555,24
24669,18938,5379,7329,8908,5867,11439,9692,54
39683,15071,3747,2203,6140,2635,34958,4559,64
110375,38207,6365,9778,1421,7771,32732,29562,83
17285,22611,7257,16141,2667,7339,19231,6202,87
33893,54059,4674,4958,2076,1591,32487,4106,87
13487,6750,1151,5947,438,1179,50474,64542,75
16513,46844,6801,10587,5207,8029,25393,12785,67
2849,1750,2007,2079,1469,1946,31985,80797,51
43003,50161,10443,21904,3221,8044,19813,38589,50
110650,5988,12982,4419,4456,2849,34425,95215,66
10812,26417,4464,5716,5324,3862,13241,19776,67
20289,14807,4596,4253,2490,8106,20937,43190,87
30453,14917,4572,3343,3725,4870,26411,51762,83
35892,15195,5163,8379,3089,7239,20137,18973,80
53319,58920,5268,10412,2237,3502,42991,50004,80
84598,7926,7741,2890,2979,8329,20560,61210,87
81233,3800,3884,9088,1782,2820,8600,89641,96
12298,35759,7217,6143,3447,5411,27957,57716,94
10303,9480,3990,13692,3279,3189,54231,136413,78
27110,69002,3992,4133,3298,3993,13967,33725,81
22021,7156,3811,4984,5720,6475,13835,31025,74
3546,28671,5286,14541,5134,6418,21416,20390,69
46692,8152,4087,4742,7965,5882,10291,18652,90
35209,28026,6344,4344,8587,13677,37593,5799,80
14383,45046,7875,2348,16256,4878,18399,13531,83
20179,23638,11965,8014,2512,5081,5712,10027,90
16286,4234,5965,6322,1241,3094,17789,7010,80
9827,5321,8020,14187,3956,4126,12954,36305,69
11222,10231,5066,3940,2214,4376,28379,54390,57
3653,34358,6535,18821,6423,4866,15502,7186,53
44420,2933,11324,5692,2265,5176,41667,8185,54
21240,29968,6506,6138,2009,5089,14264,9866,66
73867,23580,6474,6784,4439,4060,28545,45509,78
8264,8304,4591,22722,3193,5753,30761,14419,67
8163,2946,4166,11558,2578,6612,62225,18656,53
7654,13482,5420,9660,3988,4992,32790,40535,41
11266,33267,7725,5041,5267,4298,20692,58476,37
27621,28115,6570,2014,1787,3520,23717,38576,51
11192,13918,21983,6439,3688,5694,13373,16338,63
10307,4098,3429,6426,3026,3655,7383,9088,67
12445,14815,9275,16196,5167,4485,11668,13854,64
9928,14517,11264,17292,3311,4493,21337,24049,53
14970,13975,10492,17891,1978,3691,21827,18153,53
14540,17493,5704,9183,5463,1764,20140,11098,54
17050,4022,8087,10534,3748,4135,11775,44845,54
28715,17812,3785,1052,5031,2358,8033,26695,70
18732,2864,6171,5448,2306,2028,5723,55709,77
8930,5246,7450,5557,4921,2159,39845,14120,66
10991,920,4091,7053,2467,3398,61265,32799,54
28214,2149,4517,3034,4605,6272,44592,47829,40
16761,678,6245,11220,1255,3825,19566,43809,30
51506,17679,3567,2947,1908,6655,11861,6209,53
2616,19711,4006,6026,5550,5405,32800,33262,63
25815,3218,5533,10339,4333,2689,13921,22629,67
17320,4007,5783,6936,6930,5513,25951,54118,69
11519,6364,3143,4000,1654,1478,7582,25627,60
8422,14859,6753,5055,1689,4966,2808,2654,67
55456,23126,11073,6205,4833,7356,15725,20316,75
21431,6067,8085,5028,2435,9951,19263,33660,78
35292,12871,3146,7621,2063,3584,14735,6224,81
9753,17726,8622,3249,1997,6185,31417,6836,75
12114,3971,2191,7374,3513,4735,36270,27105,60
21141,2272,5945,2320,2212,4524,69549,85669,51
8061,4350,7855,3716,1451,2295,29734,9886,37
9962,14318,8017,2589,1794,4887,5176,11702,41
12816,2252,3231,7037,2266,2485,15655,7228,47
76792,12709,5112,892,4557,4120,2313,3126,74
50983,11866,4247,2592,1931,1393,11925,8800,90
6555,6239,4838,1950,2435,2429,8628,7161,84
12281,17979,5914,7818,1994,2770,14908,7472,88
11259,11061,9535,5856,2676,5033,16832,23497,66
8843,10652,17949,4549,3029,2719,17671,32912,51
33571,13963,6911,13120,1625,4740,11106,9995,56
26355,15987,4284,12563,1663,4892,21806,17988,56
58558,13364,3614,9777,3095,4243,32322,3397,63
13971,8791,4215,4109,2563,8302,18150,9351,67
32305,8597,8304,12637,6241,5870,10775,33671,66
5306,13681,1916,9550,1891,3862,11455,20891,64
44861,91791,4168,8331,1915,2694,8504,61916,77
60973,12832,5813,9847,1907,3026,44242,116560,78
7856,17736,5418,9750,5096,7707,11202,49062,77
13290,4332,7070,6702,2807,13811,24505,15739,74
7786,4746,17015,11422,3895,4666,18402,37539,48
9230,4568,18370,4386,7617,9547,51792,20669,30
11756,15468,6247,3462,1821,2154,18983,53914,30
16436,3278,2512,8101,4730,2662,22304,20940,34
14514,7167,9168,7856,4293,6043,116775,48434,27
5597,7386,10028,12950,4272,21521,19578,12856,30
1007,18625,6302,8224,3277,5164,11870,3352,30
9222,1829,6113,2596,3251,2892,20842,5732,27
14741,5581,7382,6595,1668,2906,11811,10615,40
13058,29132,2326,5191,1742,3706,10655,15112,56
9056,8899,3405,3260,2199,4504,49411,56037,50
24203,7409,5652,13858,2365,2986,3867,9125,61
11592,10108,6062,2516,4203,2987,20783,24350,60
2418,1318,4631,5909,2658,3728,12622,28131,40
581,5806,1498,440,345,992,24914,58446,37
8585,6821,4258,5949,3277,4010,5815,33904,34
448,338,2313,779,576,1924,7229,57608,16
2762,6729,8208,3513,1604,3004,20968,8891,21
15248,3640,1906,5207,3699,1200,21295,26551,29
3334,1335,2250,2106,2197,1410,3495,4692,24
4572,14409,3851,3118,1888,4195,5723,4793,50
13299,5668,10337,2831,6298,2130,60018,21282,48
2937,13081,2793,3344,1705,2172,7193,10049,53
2162,5873,6476,6181,1431,3604,23088,8255,44
3484,5220,954,450,424,355,28158,81316,30
293,8222,1766,1985,702,947,25171,74004,34
11585,5302,4641,3844,1962,1890,48010,9942,23
3308,26171,2847,3856,2035,2713,272448,266341,16
8717,6519,7602,11327,2870,2041,7012,10319,23
4345,4549,2950,10795,868,1711,24165,17498,20
4540,1301,875,2188,402,762,22723,77603,17
4070,66,1305,589,1003,1215,16302,104554,24
4103,1929,9646,3068,2093,3829,3223,7438,20
26594,437,4732,8220,1108,4887,6713,9894,35
43997,3828,4717,3016,3542,2971,13088,19488,51
9898,3117,3056,3966,2325,5139,7171,4229,61
3052,10905,6346,2518,1620,1328,2197,3836,70
24138,5081,3123,5160,4405,5647,4109,5140,77
9731,17563,7246,7937,3108,3672,21636,2495,67
4341,2256,3530,1935,838,3698,4102,6467,64
6723,2438,3759,5597,2081,3731,6864,11940,57
10852,1510,6937,4055,1765,3790,22978,40520,43
6634,10271,2872,4373,2175,1087,15151,7805,44
1904,14277,4692,5154,1409,2025,10933,13648,44
4250,5472,2100,1543,2269,1330,27687,6405,41
5995,4082,2154,4772,1768,3680,46201,36339,37
2960,2496,1151,3095,648,846,20270,80044,26
1513,2624,2841,1419,864,625,3641,77498,23
2402,6955,9081,5624,3920,2317,7564,6463,26
2921,9198,5726,3566,984,5633,19899,3747,30
3656,4946,6055,1230,1773,2099,8870,12180,38
8134,1742,8608,1831,3823,4954,10441,2882,38
4085,5720,6750,2135,1326,2341,12854,2105,38
4218,7583,5263,2768,2822,3059,7564,12628,41
2827,4640,6659,1518,1088,2268,11362,3466,40
6573,7438,7199,998,3768,2842,8606,11342,43
4475,1139,7883,7155,1434,3110,7963,4666,38
11246,7237,5172,2256,4221,4981,10547,5956,41
814,2320,607,1297,421,894,34039,106962,29
3905,11110,6491,14690,1026,4039,17817,9476,24
5899,3558,2941,3116,3017,5717,9668,3335,30
357,1966,583,4131,849,1221,29408,72868,11
12644,5818,7748,3965,2783,3956,15178,5705,26
1879,6345,5067,7582,1252,2216,42518,31224,20
8316,4578,1748,6457,2468,3344,3091,7358,24
9294,2493,4280,6150,709,2414,7236,19653,43
7345,711,7934,4913,3023,2794,13608,10062,37
4676,7742,8052,4991,2413,1792,10439,7326,47
5059,7684,4501,5934,2432,1796,2309,9060,44
14408,7275,4872,5594,3024,1520,10582,8254,48
11789,4908,3558,3721,3748,3401,7050,2363,60
10155,15392,5038,2947,2475,1335,7844,8012,67
1494,1194,2512,2730,968,1113,12525,70655,53
37870,4226,6574,21625,2995,7181,10884,14838,53
5676,8782,12097,31128,12901,6850,39832,170482,38
1649,3666,3507,1979,2317,4006,5624,106270,27
9106,10452,5623,5462,6954,3579,34143,11146,37
2402,719,2882,1949,1915,961,15866,65423,21
12580,51266,6546,7046,4371,18464,26415,24008,38
1713,584,2901,2392,7435,691,12497,66156,27
16724,7655,6767,4953,14713,19004,12403,21570,35
7170,8679,4887,9697,6049,5076,9188,4250,47
21569,32241,5919,11148,11891,6464,14708,479337,47
11324,8922,8884,7157,7704,5210,5324,26588,63
11792,10407,5559,4543,8994,7230,42828,102542,54
1078,8780,2663,3242,1194,1511,18280,36041,51
14815,4904,8337,7564,1595,5212,22369,9704,41
17130,912,7828,3180,2162,3178,5934,5179,43
19458,28310,6079,8617,13519,5435,11972,17839,53
4566,6068,15142,7516,7625,8136,12512,25369,51
11807,9739,5074,6269,9810,8276,8546,11628,56
24357,31392,7497,13823,6067,4896,20283,8956,57
7970,2578,7387,2686,7868,14806,24214,4757,44
7274,4445,10401,5697,12235,4039,10190,7956,48
10515,2959,5461,1884,17847,15869,15322,4563,44
16526,8751,9815,9208,15164,13202,18616,15229,40
10523,1318,8452,9783,5995,7616,10131,8124,41
8402,19142,4503,6076,11368,13295,6758,3335,51
10091,10746,9756,7277,14391,11577,29217,12878,50
19022,38083,9170,19795,10727,17820,95588,238813,44
35330,32373,21954,69785,15117,39308,306650,233260,38
4037,2754,4341,7506,2612,1882,40971,754920,20
22026,27842,15411,8850,4365,7301,83518,213214,20
4554,16355,10608,25003,4148,4751,43413,14911,16
5626,22178,4521,15121,3714,2074,38783,48996,23
8862,18242,14069,12919,6293,13677,901132,1522517,14
2582,2367,2124,1834,5151,713,5906,63296,17
7058,11628,12090,5120,12555,6708,6501,6044,29
6066,9316,2325,1583,1836,2882,17159,102819,35
15060,61760,25785,19419,12687,14273,187943,1090701,53
14303,5291,6467,3928,10087,8740,22701,157480,53
3811,2439,4043,12654,3774,4258,7916,2712,43
5750,9428,7221,2492,6496,5351,27388,24452,38
1953,2986,1470,1412,2051,1388,20192,58323,35
2240,4200,819,2053,737,1039,32374,69146,26
1257,596,1787,1229,1077,1094,25061,79378,17
3854,632,8407,8293,2634,6062,15762,13480,10
5189,2557,6922,6278,2853,2129,2953,5016,16
24177,3656,4223,6390,2983,6587,22304,17977,27
6336,8387,3581,6995,4768,6947,5598,3186,47
7633,12257,15742,6764,3832,6131,20024,4038,54
8320,14156,10353,3709,6998,7781,29036,22374,54
9699,3227,19293,4761,12564,16491,3826,4547,51
4719,4365,8652,1410,13166,12561,15338,12956,44
1610,13552,5153,6195,7787,9196,9026,4591,48
9308,7286,7783,4319,17165,12929,22446,167798,48
1758,533,1616,2151,2043,1729,3195,290657,47
6621,1129,7108,5400,11155,7984,7000,4824,47
23177,12899,5854,11202,7214,12057,110511,128916,40
3160,14426,12329,5204,10638,23753,30206,16172,38
2099,12431,8298,4319,10035,10431,14006,4872,41
2475,5091,8787,3988,9477,13317,8428,3886,41
5059,16074,11901,4135,16650,13959,47022,60811,41
4382,2916,3304,4408,3375,4198,10299,48491,43
11571,12710,8945,7180,21681,7843,14624,12734,43
