highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,theta,delta,meditationValue
7750,11485,6591,4380,2174,5055,14433,5335,50
6526,7378,7867,10497,9746,9496,31133,14453,50
17333,4641,13496,4765,14416,10381,7995,4267,60
4835,6405,2232,4925,3469,4941,21559,39564,53
502,3277,291,212,486,696,9444,63915,48
2082,3424,986,1287,288,453,6561,30562,54
3883,2276,11267,5675,9796,6973,9084,26127,44
7850,1251,12460,9326,15383,10596,14902,7598,41
5942,6319,5500,3539,4162,1680,12918,221197,44
11080,4741,9834,8018,13896,9427,12298,1096,44
2160,5758,8754,4286,9864,11511,15580,3274,47
3660,5859,2869,1461,3299,3525,20282,33879,50
4915,12480,14072,12682,6675,18744,11431,26294,48
2767,9021,7000,7247,8624,5824,13292,7479,47
22459,14618,15607,10037,7072,19544,27433,29405,53
8307,21774,8055,4466,18900,24910,85400,986994,51
4944,6656,3360,2573,3476,4652,4086,57367,60
3769,92,1739,5964,1769,3117,9724,32994,54
1889,7544,5423,2079,1921,1957,85884,306092,38
30263,137678,29026,27314,21430,38432,176228,1932879,44
4491,3278,5359,4577,2886,2734,7456,317331,37
5524,6148,4943,7760,3600,4743,45835,195856,35
4729,1897,11607,3394,7630,24259,13065,59444,41
2706,6041,19283,5698,3934,8613,23771,16122,29
6539,4465,5991,8284,3163,2588,20085,75652,26
3717,8326,4277,699,2463,3715,40662,108835,27
3391,6858,30008,4644,7456,9949,25000,12634,26
8719,2809,1405,3673,1837,3125,23558,90130,34
6373,9036,4951,2431,2410,5598,76031,68766,29
19831,4401,7901,12112,6540,3242,5614,4494,41
6315,3307,3326,4749,3226,3651,15363,22007,48
10087,9423,6555,6515,3874,4833,8552,5913,54
3735,1659,1935,2924,1005,690,5807,40799,63
7413,16740,9943,10518,3327,6038,12616,4653,60
7239,1755,3021,5843,1446,2686,56171,143926,50
6221,9628,3027,2786,2947,1146,14682,61919,48
9820,4485,5946,4890,4255,5671,15463,20388,50
2677,9261,3641,1856,2144,1134,20306,32440,47
864,8046,2161,3903,2688,2055,10819,31275,57
2135,10976,2747,1291,1167,1479,33803,52991,50
942,4219,2399,682,3454,3381,11064,71235,48
3283,2919,3015,950,2655,1536,18920,39187,43
15493,8270,16372,8468,10154,15147,46873,187544,40
10674,52103,10960,15040,7499,6147,33579,82380,51
13631,38508,12899,33899,13010,22108,142570,187148,48
5255,2998,10823,2081,11634,3849,6786,15333,53
13999,5466,5052,5217,7313,8386,21530,6648,57
3428,6712,7822,4708,2980,1635,47189,104383,40
6473,2103,2812,3409,2007,2092,12821,71421,44
7291,8774,12093,3273,8268,9315,11940,20652,47
11000,11113,7715,7904,7452,8959,28235,119643,44
954,1039,2137,1354,1293,1368,12235,36064,43
9998,12028,5818,4249,5717,9437,10811,6957,50
8584,7905,6696,972,3708,4875,6543,5960,56
317,1339,433,648,107,301,4655,70743,51
31337,18480,8940,2738,4090,5631,38820,46380,69
638,3433,1278,4412,600,947,89025,86113,41
9045,8910,6668,6273,4928,15619,18819,8058,35
1644,2487,2205,3590,1673,1540,15398,87950,30
4973,3571,1953,1344,990,680,39133,82263,17
6789,6517,3822,1374,3504,2264,18597,15156,41
7896,11239,9660,5495,3596,1490,5245,4953,47
4021,9444,12032,3975,3391,1724,9308,6770,54
1095,652,1583,713,400,966,19184,77012,47
2037,4899,1560,4938,863,1230,27061,113125,37
10333,4826,2498,6196,5003,2558,6573,6766,37
6813,11101,10239,3225,7111,2604,21771,18923,37
1434,3997,3095,3020,2301,1382,28976,45764,41
871,10496,1712,1509,669,738,27597,78765,47
1610,302,2443,3777,422,1298,26557,61202,20
12795,20174,10360,12429,3217,7329,55553,152508,20
9862,6445,5280,14167,5176,3237,241337,213364,11
10003,6655,13469,9799,3185,2796,61340,50487,8
996,1640,2063,2234,953,1154,16198,88762,14
11372,4468,3131,5100,884,1930,47464,72609,11
3194,3366,2538,1852,1973,1816,18116,50331,24
10775,4125,10159,7309,3420,3098,19810,5510,30
5485,9383,6690,3277,3366,5586,10900,16208,47
4344,3945,12334,910,3344,2725,10586,30248,48
10042,12558,5490,5531,3339,2140,3097,8119,64
1854,4415,1423,2311,1086,955,31823,58596,56
5726,2662,4848,7961,5362,15929,10511,8711,51
2282,532,1322,2232,1177,1013,13412,56708,43
7996,4621,5270,3751,2713,3210,41473,9836,26
1844,9250,3462,4397,5551,2955,3925,4292,40
4519,2302,8571,2928,1257,6065,24599,13878,35
4214,8423,1783,2074,626,1472,25209,117136,43
2026,1216,1147,1859,1387,1008,20263,31428,38
8588,5971,6711,3811,2668,2713,3115,9963,40
3933,1240,998,2014,1422,1700,9595,91406,47
1501,816,2525,2955,2102,968,8750,302047,40
3175,6637,7189,11402,11008,3939,21353,3893,44
3433,1098,3800,681,4274,2125,8466,72463,35
7852,10522,12623,5005,6962,4801,21259,5220,35
1730,3227,5429,906,2152,3768,7919,4344,41
10936,3037,7521,9711,6405,2657,17118,3771,44
18663,1168,5959,6012,2650,3211,16188,4553,51
2789,1824,2369,6500,2428,2426,2497,24408,51
5101,6621,7020,3213,2201,6170,5310,3224,57
14259,3295,4117,8737,2754,4707,5726,14533,64
12768,16876,4464,11808,2738,7159,26441,18266,64
2887,792,3980,2153,1505,3337,20306,51888,54
1550,11417,5627,16957,7799,9428,15380,56047,48
51298,31860,32060,6884,6505,29386,104895,114416,44
11048,7391,2629,6528,2649,2592,22670,60317,43
12421,3343,10617,7657,3277,6590,12176,22304,54
4717,11894,7850,2099,7766,6726,6955,5558,64
4918,9973,13207,6625,8472,8064,7681,13604,63
1124,4746,5878,3675,5076,11741,21117,6621,53
4624,12056,16238,22812,9034,6482,38826,57589,47
8259,13599,13823,10984,4338,12922,22789,2730,40
4141,4107,2273,1076,4444,1677,8574,40231,41
3933,24778,11116,8053,6601,2782,28944,18966,53
5684,9807,6915,8867,8491,11432,21443,5349,57
11359,13975,3269,3703,5170,5844,33513,4620,61
14381,3142,11927,10529,8303,2566,15601,15047,56
3794,13669,1919,1761,2493,1438,27439,32559,54
4028,1725,2662,3068,748,1615,30613,97479,47
1024,2657,1479,3435,2900,1949,21024,48734,34
1079,3900,11260,8373,7602,7890,3407,9739,26
13094,7137,6259,10465,5752,5749,10480,13363,29
9728,15279,5111,11107,2021,9975,19272,4097,43
28104,50960,16915,16883,7214,19273,146875,327290,51
40730,57157,7995,10390,27450,18791,106399,794617,63
9138,3162,5306,8935,6075,10416,24074,13812,56
5638,22168,10185,3045,3476,1477,23278,12267,56
10522,11986,4808,5220,8298,4945,10006,2677,64
1704,177,1448,6328,1239,657,16488,80102,44
3315,10585,2757,6033,3582,3732,6597,17548,53
3733,9598,8439,9018,2214,2490,8676,11969,50
4868,4564,5701,10475,1806,4056,16586,6515,38
7697,2529,6871,4730,2225,2879,10585,13496,54
2840,11493,4329,6665,3769,5669,4838,6315,54
2930,17037,4332,11380,5604,5639,9540,14073,56
13851,18490,6423,7949,3157,3722,9916,10912,70
4450,7789,8807,7789,1484,3577,9301,21730,70
10102,4443,6492,2402,3884,3378,14459,9270,67
3047,9650,6238,13549,2204,5701,5960,3766,64
7186,3795,6077,5917,3695,5450,3852,12475,57
3142,8860,3891,794,1298,1017,34841,78953,54
4333,5742,15312,10410,5044,7532,3737,6802,48
3707,7063,7434,3111,1907,4127,6985,3005,50
11178,4648,5484,10413,3870,6429,18233,7800,47
3743,3344,4939,20127,3525,6455,29599,26924,40
1408,4616,9847,10871,10507,6897,10990,30675,34
1898,11181,6444,2653,3937,6710,4663,8653,38
9224,21450,1431,2458,7350,4563,6422,16574,53
3935,7413,10316,7655,4055,8602,39680,117209,57
5142,5590,7096,1342,8983,12420,16527,25751,64
5082,9265,3629,14393,8538,7362,6033,4158,63
3924,3146,8887,4303,10207,8927,2455,10738,47
2627,1274,1569,1354,1612,4351,1913,81749,57
6433,9260,11888,15832,6584,21489,10945,7085,57
4279,72,7473,8786,5090,5292,13999,5775,44
5870,1317,8497,5726,6420,3829,8802,13098,43
4366,16338,3312,3264,3330,5832,92626,575564,30
3521,880,2863,5038,5247,3852,4789,27704,29
6144,10880,21754,12485,3677,18888,32931,11444,34
2440,5802,10282,3874,5504,3993,14239,7791,34
754,3320,2352,1794,1666,1881,16223,45986,34
3487,2425,3428,2198,1223,1742,66770,54602,20
12946,7733,11729,2980,4841,6559,8765,5425,30
4098,842,7377,8309,11059,8726,10465,4122,27
7215,13915,9156,4493,3152,3567,24809,1017,37
4282,4260,17197,3171,6962,6629,14729,17058,47
18179,12241,4601,9655,2634,4188,16431,7043,47
15834,6399,1907,5192,853,3172,173334,275962,41
11005,5288,19692,9174,5321,6815,45868,24761,34
1371,6114,3563,2166,1846,1256,23506,91318,34
7180,5278,12317,3744,4914,10427,30589,17280,21
3612,105,4041,1542,1974,1570,8052,34698,29
3462,1493,2250,1740,1307,1461,17426,69350,29
1425,3898,2388,2042,1252,1266,11145,100149,34
5111,4015,8314,4676,4507,5065,13440,19680,35
2069,5006,5446,8994,5367,5947,12412,31378,35
8419,5469,3899,3059,3366,3660,36119,3504,38
355,8755,1538,1134,1293,796,121267,104294,23
17025,10653,14398,3924,3725,5619,10829,2895,30
3295,11384,1555,2560,1107,1763,25915,81895,38
380,1223,1797,670,721,659,14282,102616,26
2112,2130,2287,2425,1343,2286,32009,76625,30
2902,4802,12384,3147,8679,3956,10445,3775,23
3044,3918,11023,5823,2985,5322,25561,4582,13
8499,1489,12433,5092,2023,8320,10525,1478,24
1549,277,4948,7768,2827,5176,6367,4527,23
10211,10023,5973,9387,6625,5435,12810,1789,29
12906,834,5000,4804,8071,1522,4925,9396,44
4068,3539,7306,5173,8717,2783,5780,11985,47
1725,4488,2006,3974,536,532,20415,58719,54
3388,4907,10857,22950,12298,7062,19699,19884,41
1163,3319,1800,2875,3062,3980,4749,328416,37
7820,2382,5710,9467,6669,4575,4679,4527,37
2882,2302,2177,905,3271,938,20149,67609,37
1955,865,1850,986,1263,1855,10450,29779,40
4987,4162,3474,7142,4293,8876,5500,3750,41
6902,1314,3300,4474,3585,6608,15611,10038,40
6926,4148,7339,4915,8581,3753,9662,5423,47
5562,15675,6095,4034,4591,7163,7907,2663,61
3843,4506,13612,3720,4046,6385,6537,5419,57
8485,7754,2525,749,1014,1372,53281,61295,54
5852,11555,9645,7744,11999,8433,9307,22576,57
1175,6292,8698,6726,3778,6010,17941,15920,43
523,398,1709,2117,1599,1573,15266,54046,23
1097,2995,1079,1484,994,1955,9837,299083,24
4791,6425,1436,2489,1468,1090,13090,41816,23
37985,24021,6632,6357,4984,11361,35936,54700,40
5927,1028,936,1597,2865,2328,11927,18453,60
2881,3868,1849,1391,884,1651,24836,70876,57
6190,9036,16416,5942,4000,2321,19313,10988,53
11414,8477,4930,6876,1947,6324,1783,6208,53
7545,9606,7358,2498,3294,4475,4917,6509,61
901,798,3069,2543,876,458,4608,33952,60
6865,13704,4958,7159,5211,8681,5719,18948,69
9584,2025,4761,7269,5520,4879,16450,9480,60
7822,2380,4970,2627,1460,10275,9691,13898,53
19109,1616,4101,21199,3144,8842,10946,6302,63
5508,1908,5337,5669,1234,3963,30837,16317,47
13027,1932,2847,5133,3313,3965,6834,2764,53
1426,2786,1590,3078,1311,972,13608,66769,47
8662,2456,5981,5099,10592,5599,8572,13806,47
2724,5935,3774,858,1444,2082,16680,21805,53
9840,34228,9906,8752,3972,7037,28941,42683,53
5832,24911,8527,8231,5544,10861,119043,279891,53
3029,16916,27943,7460,11136,8360,25762,6959,48
12245,2994,7200,14192,3344,12553,21422,5641,47
1861,2426,992,2687,3257,1205,27780,203384,29
7299,2461,10080,13886,9040,9359,20740,2542,29
21633,6433,12236,12203,7173,15501,262364,854034,17
3091,1299,512,1084,1041,1327,13637,85774,16
2592,5652,9170,9407,5963,5782,7216,22720,24
6309,1831,6107,8215,7369,9234,8471,16822,29
9755,6697,12052,15155,4575,5739,22710,8564,41
6078,19057,8826,2799,2228,6417,21785,1506,48
2408,3527,2010,1944,3081,3137,18277,46040,47
2216,8198,3269,1629,1415,4673,89080,215752,37
2725,11278,5659,12240,3144,5849,8768,37771,40
696,766,1414,2062,639,1556,9580,70318,23
9582,13827,6857,11907,2414,7874,84257,717134,21
2766,2894,3798,2468,5092,6371,11837,9873,30
5083,8735,5903,10569,4333,5159,13596,3707,29
2864,850,1928,1143,1926,1785,20725,45728,34
2452,4172,6415,4756,4248,7555,12713,11226,35
1540,831,9805,6671,3120,3208,11896,7220,24
6097,13082,4538,7622,8920,9436,8459,19050,30
7063,2161,15350,6715,16524,5420,27054,25704,35
9806,5826,12941,4636,32817,21380,20370,18102,38
2149,9679,4168,732,1439,892,36038,202836,50
3375,3892,2909,4766,2360,1841,28970,70269,35
5297,11481,2196,2858,2110,3520,18989,40940,48
5771,704,3444,561,1347,1683,20778,51590,43
5247,12994,19495,9679,3436,8381,11878,10577,47
3789,2384,7574,1118,855,1296,7126,68111,51
4272,2602,10601,11973,5151,7415,16417,5726,38
4089,1060,7577,3923,5111,3487,43907,40075,29
7477,9791,4481,4746,3031,1553,19028,11165,34
2444,3219,1495,1069,1311,1301,32670,71543,24
15267,22539,2374,6355,1865,2793,25725,200099,41
4773,10815,7031,3557,3167,4997,11487,53820,61
4299,8580,6167,3634,2035,4221,18863,68850,57
5987,1578,12848,8879,4986,8457,18034,949566,60
6150,18693,6166,3790,2810,3118,5970,166871,63
21467,20417,20900,10048,13801,6977,68161,788874,56
7129,1868,4831,3513,1590,2992,16763,266556,54
7914,10624,2137,4244,5637,2179,13846,148732,69
27654,31605,25463,6698,21165,17371,106056,539960,57
16926,36694,35333,7718,21091,27936,44546,115584,61
27761,30398,18062,21988,28923,13552,100055,828341,63
13351,3729,18248,17601,5286,6553,86620,120905,44
6933,2613,6821,4431,5369,4470,20232,28629,43
2419,7922,10177,15188,12237,14899,21913,19158,34
7761,1713,14250,6955,5457,7643,19247,31697,27
12825,1069,4737,6526,4378,3078,5657,3668,43
2442,3736,9463,7034,8252,7151,7223,12991,43
3042,14262,5489,6642,7080,4855,24316,4681,50
7843,4439,3236,7805,1270,3898,17547,5726,54
2667,3501,1049,571,738,1163,25258,47861,43
3551,9294,6506,3886,15863,7961,11640,22420,50
750,1372,3294,1700,1574,3836,8788,68505,40
347,3055,7923,4515,2105,11558,17294,309461,27
5393,19705,6298,901,3332,3654,11516,187651,44
15679,4711,9711,5411,5503,12448,185380,339827,27
5773,4142,5015,6298,5017,1949,49282,214913,27
7265,2197,36873,7542,11276,6456,7903,6098,30
14033,2085,13658,5670,4173,7135,16711,7756,23
4847,6471,10025,7776,3664,6036,20223,18673,34
1865,2135,3825,2346,2101,1909,15723,84431,35
9597,9967,12393,17236,8657,6431,32900,45021,38
5920,18897,15975,10432,9598,7802,17705,65072,41
3464,7018,8623,2736,15086,14077,7864,7762,47
11602,16216,4829,11624,15323,15214,14004,10364,61
2373,3632,1598,2612,3873,3741,27410,65225,56
865,1136,4277,1160,1192,1458,3865,56158,47
4179,5512,17808,9102,3640,7443,10148,3763,40
6722,11400,4714,5075,4388,3113,5468,6715,41
2287,4122,5476,6829,1836,2071,20331,82559,43
10553,47946,10857,20780,13081,15449,51203,177124,54
8089,30556,8336,6125,5314,3498,29101,10997,66
11504,7284,6365,11862,1745,4595,4935,2149,63
16101,10414,1898,13750,2776,3575,11654,4683,78
13292,9738,11730,17301,3209,5379,9195,5819,77
5979,5263,6505,6268,4215,14308,14244,26841,67
1812,1903,5448,4485,6033,8313,4557,7292,56
2179,1570,1622,490,2022,708,4198,98263,53
2320,2469,2281,1432,296,1766,21566,57954,41
16763,3505,8884,8843,2189,3085,4873,2706,50
15890,11987,3351,3769,2832,3529,12377,4574,64
5773,3575,1534,4301,462,975,19957,26884,61
2569,3268,6023,5564,1069,2939,34087,244509,57
51324,106165,37689,17887,16116,24981,84404,231076,60
3356,6979,5138,2095,1847,3034,14152,107231,50
16668,8231,35503,17456,10131,30638,21721,30562,48
39046,15163,10752,8100,5411,11957,83610,1606125,61
15429,7672,13036,35394,11947,6533,23008,19399,51
29068,7133,10544,2321,3066,6876,9037,1619,61
45239,11381,13070,3525,11364,8102,12462,34493,78
41101,8354,9944,4217,10678,3065,15151,9095,88
37871,4067,10341,5918,7394,5472,6457,10073,100
13862,9125,17609,5828,3636,6656,4429,10557,97
34602,672,16054,3520,7760,8284,4356,4478,96
12474,5719,13486,6300,3796,2718,4757,3456,90
31401,7289,9785,1673,4977,4743,5933,11140,91
34067,6237,13077,1679,10578,3021,12143,9163,94
2931,12198,6092,11789,5002,4967,30747,52751,81
14440,13985,10390,15933,4249,2079,34445,8712,77
12109,14486,4119,22246,3576,2805,19875,21447,63
24240,32156,11718,12357,2667,3534,41639,51550,57
17183,15599,9687,6205,2045,4187,41925,119662,63
21331,10376,9386,4845,2893,3428,53851,143040,63
16694,19852,7283,17456,2337,1773,28900,132993,64
30058,4408,8384,6547,2642,8301,24801,27189,66
35031,3808,8376,1797,1919,6328,12221,7871,77
15089,12516,6870,9450,5328,4811,23486,47733,81
12068,14898,11302,5933,2465,3293,18407,22105,83
7934,23082,9540,7142,2347,6853,19862,23142,83
11329,1589,4901,5113,3386,3289,16104,17398,70
8669,31612,3159,3915,2630,3353,18460,7322,78
11905,4669,4116,1221,3408,3437,31746,28340,74
12235,2667,3797,3633,3674,4276,5310,3913,75
9570,16545,12091,9737,5574,1648,11067,13553,78
42950,25824,9552,16294,3744,6272,28215,11744,77
36619,10016,5029,3972,2076,4494,41006,26707,83
96762,6667,11452,5385,2301,3920,28047,20963,88
23598,7294,5613,4233,1336,1150,61625,22535,83
27473,5018,4687,2223,2727,2340,25075,17810,81
43809,12368,5875,1408,5105,2587,14884,15730,91
5754,7685,5928,4317,1858,3382,17294,12079,77
45268,6571,3086,4937,1145,7137,21766,18550,90
29600,10894,8065,9424,3031,3343,13249,7576,91
41964,12102,8282,6794,1338,2219,78268,17968,78
15243,12713,6509,11528,2838,3821,38153,33111,78
13248,15728,13424,12064,5024,2594,26351,67948,66
16805,5845,5933,17094,5176,7119,19109,24357,57
6797,10004,16060,7002,2070,8006,15712,16590,54
18245,3213,3683,3466,1692,2438,19517,14086,57
9836,4797,13283,7941,2341,2007,14409,9443,54
13748,9842,3324,2951,1692,3288,10854,15875,63
11556,38455,6514,4779,2709,2281,29053,8093,74
16117,40191,3235,9392,1977,2667,23713,27885,80
34294,9740,6335,6642,5260,3539,16916,17618,93
61161,16179,3488,5700,4207,3934,5406,17822,100
11064,11923,3966,2599,2851,7949,7864,6777,100
28687,9551,3591,3151,4066,7579,12243,5773,100
40300,5156,4683,5731,2437,4897,22788,5597,100
38774,5664,2860,2947,3033,3755,12506,8135,91
8257,7642,5585,10688,2035,4381,17327,12431,80
7485,1019,6835,6035,3633,2573,27480,4016,60
25009,10505,6435,1819,1764,11963,15582,17997,61
7601,10274,5849,4701,2462,3348,38124,27343,44
6596,10546,6259,6043,2833,4523,17952,32443,48
14563,12479,9478,4823,2051,6308,40901,6367,54
13130,4962,4426,7530,3581,6654,14037,6523,48
16036,9988,5323,8070,2178,2714,2969,13262,60
6218,5899,5627,6770,4310,1372,14711,5851,57
9218,6287,5773,5396,2207,2567,20605,39429,57
21937,9208,4273,4157,2030,3511,5369,10528,67
1463,4945,3873,2534,3819,4556,16888,28566,53
14004,5472,11096,6115,2160,2086,19608,15886,54
17146,30529,4492,1622,2656,3492,104327,81656,53
29877,32100,4551,6391,1917,2214,15834,28547,53
6628,9346,1980,4108,2168,3468,32531,22420,57
16398,3319,4620,7981,1777,3774,8907,33130,61
17883,9738,8040,9680,2245,2047,42114,25059,63
12921,4592,6346,2571,4605,4564,3542,10957,57
17383,5402,6028,4938,2584,5122,68055,72070,54
34443,3298,4498,13990,1438,3570,27477,23897,54
21196,38330,4440,12768,2486,4425,11400,112805,67
17152,16542,8249,6511,5531,4692,15985,32949,66
15423,6274,4070,4327,2406,2388,23130,4261,74
9221,12655,7133,5427,2901,1309,37702,58481,66
22197,18517,6554,3026,3436,5073,39836,48670,56
29837,11359,5089,6711,1884,1231,15862,45940,60
15513,4955,3873,2043,1367,2636,59057,72444,53
90282,20512,3553,23115,2014,2885,27192,24088,67
17203,13825,6704,13646,4947,2282,26490,17225,66
16795,2836,3357,12369,3010,2441,35597,53793,53
11846,15220,2236,3607,1887,6002,25865,45368,63
11977,3318,5777,9022,2054,3719,26741,49858,48
9326,4065,3179,3670,2786,3641,20570,7897,44
41064,6732,5547,5768,2164,3085,17854,12311,57
2955,11626,5114,6581,2731,4481,31413,44795,50
25790,10847,3329,6724,1279,3241,20107,33747,61
9158,7060,2108,2979,3340,3440,12053,78254,66
3505,7913,3301,5691,5886,6017,35470,214098,50
17066,19354,5916,3972,1387,3357,34127,151002,57
31749,3263,6187,5098,3966,1853,8479,42394,61
10312,4309,7687,10516,1269,5635,16846,9491,54
5633,11642,5829,13963,1587,2057,6341,4150,63
7580,7905,2040,5629,2239,727,24634,3561,57
16472,10252,4985,5022,1448,4088,59428,38021,44
12744,13471,5096,6912,1119,1384,8273,6901,54
40581,11410,1965,11977,2387,825,12782,13482,63
23332,22372,4872,4047,2052,1859,6760,26469,80
11310,29602,3583,3258,744,2808,13078,11870,94
6318,38283,8150,6764,2698,3175,30338,15235,91
24209,11788,3584,6064,4113,2027,33917,12969,84
25337,39168,8855,6221,2548,1519,21718,24076,80
30073,26604,9639,4235,2100,3388,45063,23173,74
15202,5484,4617,1412,2442,2517,16229,94466,74
13452,10411,3704,1981,2666,3198,13940,54145,77
46879,7153,10282,3351,2049,1349,58428,57432,69
61731,5003,6394,14974,3805,4872,21248,29464,75
25011,4471,2323,8317,1626,5334,24387,66360,74
26887,40554,14342,3084,3436,8460,19758,55943,77
24990,6705,4293,4852,4215,1602,127464,67804,66
30268,20611,3817,34535,1413,2596,78142,99834,53
29677,6542,7417,11466,2919,1952,5219,4854,57
24916,119,2510,9360,3238,3789,15317,13331,53
35165,14372,4821,2053,1430,1722,34047,185561,67
40328,27473,19130,8120,3369,2465,36011,17580,78
8875,5710,2952,818,4072,1045,25871,909862,66
663,5643,3343,2175,1385,1028,20310,133141,54
1688,4925,3952,1375,973,1707,49413,60605,34
3955,5706,2787,2282,2791,1727,18937,61969,23
12911,43693,25080,4584,8055,14809,41525,31154,27
10359,43575,20200,19387,9456,24445,277192,1369383,24
11277,3368,12330,7518,7127,5862,11129,40640,38
969,9634,1893,1363,2373,1453,17275,52637,40
27678,33789,4818,10332,5147,3479,31761,10628,44
13155,3589,12868,9232,5524,15445,109687,179292,41
8970,7346,14631,2557,14446,7844,13082,2799,43
3823,5397,1835,813,2773,2492,16825,41936,43
2713,8114,3665,1210,1328,3388,9705,24085,37
7597,4365,6527,5310,6789,12449,16398,78865,48
6695,3055,10908,4332,9125,5151,5287,18730,47
1728,1864,1637,508,1056,799,4289,14668,48
14793,7961,8409,8332,13317,13664,10936,87931,50
13338,80071,19411,13843,16262,9107,110237,475872,53
6812,10988,4378,1595,4794,5124,25032,230238,54
9778,6558,17379,14131,13286,12926,22320,4181,48
5939,19823,5958,12426,14078,8028,7617,14798,50
4023,11671,8640,6753,17562,8952,14158,20096,48
6451,10350,23365,2892,8239,8495,9664,3980,48
1204,4857,2006,2125,1586,2180,19294,47991,47
6953,20391,9546,7076,6014,5083,9594,13166,47
5332,7121,13031,7982,14712,5370,20965,70918,41
15087,36599,8570,3311,20049,15840,24108,11293,51
4049,4496,3091,1612,2457,3047,9025,62326,60
4685,7434,7005,2956,10667,15026,12207,3891,53
7755,1070,13708,8415,7079,6165,7548,10246,53
4942,6684,5173,5810,3316,3167,20757,64276,40
2556,5096,10221,6629,14800,17376,12268,937,30
9917,1205,11893,5299,6542,10299,18429,10938,26
2789,231,1789,2769,1119,1382,9534,110004,23
9328,12448,8957,11600,2026,6340,11928,7776,27
10897,12121,6920,5288,4370,4668,67582,12008,29
3017,1643,12276,3379,10770,4695,8828,7681,26
892,4095,8161,5002,2559,2630,13134,102117,24
11697,10842,7609,3698,10401,18694,51538,28724,20
3126,15683,8928,17608,13952,11543,127673,337350,11
5244,2239,10662,3145,12197,8005,24720,27482,11
4102,11686,7147,3207,5428,9593,25406,5034,20
4426,2499,4680,4537,20233,9094,25646,7128,13
4452,3454,10953,3227,11075,10653,12958,5186,21
4591,3804,9079,11658,12291,14081,2777,5761,27
8305,5207,7996,16831,7288,9204,9628,19013,26
4748,3410,3914,10209,10523,22673,14847,9757,29
4952,2638,6055,9863,5862,11968,4480,3925,34
13673,20233,5224,8176,8001,16004,79121,506493,34
12160,9762,10885,6615,10150,8819,22879,29734,37
8061,11499,7387,17155,4579,7320,67719,114521,34
4584,2027,3344,11288,2553,5508,21244,1310,26
17205,7698,8576,2785,4559,4558,6387,20319,38
41383,46983,19168,16110,16855,23802,240737,271184,34
12796,3588,5287,4425,7704,10678,19131,24364,41
5573,6313,11139,5111,2982,6492,16522,4664,48
4934,13623,13003,7541,6952,11736,10687,17935,40
3681,5764,12400,3345,7181,7620,11823,6254,41
6410,18332,18873,11252,5773,7697,33036,37479,37
18477,8697,5930,9804,8298,3458,20158,5366,44
7212,16432,9146,6667,4866,6445,29583,15685,43
17342,5225,9478,3891,4554,4407,19744,6262,50
7585,3009,9181,5848,6249,3735,14805,2571,48
6918,7398,3603,2716,769,1515,28565,66272,41
26152,3598,7849,14098,2949,11171,82505,115162,37
22698,1934,13638,9065,10447,9656,40276,21756,34
12395,6434,13749,7565,9616,14285,43474,11783,30
7465,4102,5758,3625,12487,4728,48387,14094,24
13283,1535,10922,2870,3072,2608,11462,6753,29
3467,7768,2086,1295,826,657,9105,66108,38
6129,4872,16079,2062,5211,6212,22622,12689,37
6613,5778,4843,3164,5296,4529,10933,3942,48
9111,27005,13915,19892,36847,15293,136679,746655,38
15384,11223,15281,15696,11965,14677,75363,104065,26
8611,14257,12583,5557,11032,13817,22652,15436,35
6166,2261,16067,1692,3971,9737,37833,11382,21
14944,14236,27670,7032,11103,8867,50060,176919,26
3802,1825,3495,2146,1830,2057,13909,48507,27
11594,15525,15382,5794,9553,12613,5160,8144,34
3426,3550,6872,5705,8379,10950,4514,2271,41
2888,5144,11254,3699,19078,6012,10890,13199,40
12309,6291,15136,8650,9005,6891,3113,4224,50
7713,5432,15290,8173,12757,8437,26885,14262,35
13017,15473,15975,14957,17192,13581,20084,143008,38
1324,2714,1878,1661,3170,3388,19459,32363,34
6412,4928,10965,4795,11598,16213,7739,7952,29
10288,3615,12003,4625,8672,8029,12821,9797,37
11491,7148,15171,2359,6435,6826,13075,7750,38
3475,8885,4831,10142,5606,8165,4751,667,50
3850,9607,4846,8471,6291,4468,40317,4895,43
8185,13391,8056,3748,5917,8492,15688,5817,47
1781,1364,1541,2426,1735,1635,18060,76073,34
6604,8044,11049,4296,12860,12963,15895,3571,30
10830,4563,3775,2247,3295,6916,3421,7557,48
3469,3377,9934,11915,4948,7550,9971,4343,37
9410,5987,16327,7994,10175,7469,22863,20801,44
8283,1410,2366,3210,750,866,1745,35543,54
2840,3069,1123,1297,940,957,22211,48665,35
880,5063,2482,1033,801,1280,29021,51890,35
16575,4690,12482,6515,3659,5728,6213,19598,41
9311,8580,14290,1441,6408,6953,14833,14429,35
3017,7559,12165,4614,4033,3935,13768,4031,38
13747,22052,3617,6936,4164,3042,14634,8611,57
2533,10020,4185,6163,3925,8056,20204,4333,51
7779,3017,7823,5089,5121,5301,11430,5359,50
10899,8992,5066,8050,9632,8510,13665,18411,56
5350,11279,10886,1122,5951,4795,23434,2120,47
17998,1297,9343,4718,4622,5622,15140,11277,50
5119,7209,7964,3367,3366,7461,8013,31067,53
2891,2540,9529,2431,8715,4617,5849,2205,44
5001,4366,11301,1637,6608,12066,6112,8395,44
18002,954,3797,4414,2646,3738,8206,6143,50
